,_id_x,ghi,ghi90,ghi10,ebh,dni,dni10,dni90,dhi,air_temp,zenith,azimuth,cloud_opacity,period_end,period_x,_id_y,period_y,pv_estimate
274,5b606554923dac48e7720960,0,0,0,0,0,0,0,0,15,164,166,23,2018-07-31 14:00:00+00:00,PT30M,5b6830513f5a57edb3b76306,PT30M,0.0
273,5b606c2b923dac48e7720962,0,0,0,0,0,0,0,0,15,164,-168,28,2018-07-31 14:30:00+00:00,PT30M,5b6830513f5a57edb3b76305,PT30M,0.0
272,5b607302923dac48e7720964,0,0,0,0,0,0,0,0,14,162,-145,31,2018-07-31 15:00:00+00:00,PT30M,5b6830513f5a57edb3b76304,PT30M,0.0
271,5b6079d9923dac48e7720966,0,0,0,0,0,0,0,0,14,157,-129,30,2018-07-31 15:30:00+00:00,PT30M,5b6830513f5a57edb3b76303,PT30M,0.0
270,5b6080b0923dac48e7720968,0,0,0,0,0,0,0,0,14,152,-117,26,2018-07-31 16:00:00+00:00,PT30M,5b6830513f5a57edb3b76302,PT30M,0.0
269,5b608786923dac48e772096a,0,0,0,0,0,0,0,0,14,147,-109,29,2018-07-31 16:30:00+00:00,PT30M,5b6830513f5a57edb3b76301,PT30M,0.0
268,5b609537923dac48e772096e,0,0,0,0,0,0,0,0,14,141,-102,29,2018-07-31 17:00:00+00:00,PT30M,5b6830513f5a57edb3b76300,PT30M,0.0
267,5b609c0f923dac48e7720970,0,0,0,0,0,0,0,0,14,134,-97,29,2018-07-31 17:30:00+00:00,PT30M,5b6830513f5a57edb3b762ff,PT30M,0.0
266,5b60a2e6923dac48e7720972,0,0,0,0,0,0,0,0,14,128,-92,29,2018-07-31 18:00:00+00:00,PT30M,5b6830513f5a57edb3b762fe,PT30M,0.0
265,5b60a9bf923dac48e7720974,0,0,0,0,0,0,0,0,14,122,-88,31,2018-07-31 18:30:00+00:00,PT30M,5b6830513f5a57edb3b762fd,PT30M,0.0
264,5b60b096923dac48e7720976,0,0,0,0,0,0,0,0,14,116,-84,29,2018-07-31 19:00:00+00:00,PT30M,5b6830513f5a57edb3b762fc,PT30M,0.0
263,5b60b76e923dac48e7720978,0,0,0,0,0,0,0,0,13,110,-80,31,2018-07-31 19:30:00+00:00,PT30M,5b6830513f5a57edb3b762fb,PT30M,0.0
262,5b60be45923dac48e772097a,0,0,0,0,0,0,0,0,13,104,-77,24,2018-07-31 20:00:00+00:00,PT30M,5b6830513f5a57edb3b762fa,PT30M,0.0
261,5b60c51c923dac48e772097c,0,0,0,0,0,0,0,0,13,98,-73,19,2018-07-31 20:30:00+00:00,PT30M,5b6830513f5a57edb3b762f9,PT30M,0.0
260,5b60cbf4923dac48e772097e,5,6,4,0,2,2,6,4,13,92,-69,29,2018-07-31 21:00:00+00:00,PT30M,5b6830513f5a57edb3b762f8,PT30M,0.0
259,5b60d2cb923dac48e7720980,51,51,49,18,110,105,110,32,13,86,-64,6,2018-07-31 21:30:00+00:00,PT30M,5b6830513f5a57edb3b762f7,PT30M,73.0654031443162
258,5b60d9a3923dac48e7720982,128,128,122,73,395,381,395,54,13,80,-60,4,2018-07-31 22:00:00+00:00,PT30M,5b6830513f5a57edb3b762f6,PT30M,171.108099668859
257,5b60e07a923dac48e7720984,215,215,204,148,556,529,556,67,14,75,-55,3,2018-07-31 22:30:00+00:00,PT30M,5b6830513f5a57edb3b762f5,PT30M,276.61608828285
256,5b60e753923dac48e7720986,301,301,287,225,654,621,654,77,14,70,-50,2,2018-07-31 23:00:00+00:00,PT30M,5b6830513f5a57edb3b762f4,PT30M,367.875259208858
255,5b60ee2a923dac48e7720988,383,383,364,300,728,692,728,83,15,66,-44,1,2018-07-31 23:30:00+00:00,PT30M,5b6830513f5a57edb3b762f3,PT30M,451.424520470892
254,5b60f505923dac48e772098a,453,453,430,364,770,731,770,88,15,62,-37,1,2018-08-01 00:00:00+00:00,PT30M,5b6830513f5a57edb3b762f2,PT30M,519.838796505222
253,5b60fbdc923dac48e772098c,512,512,485,420,797,759,797,91,16,58,-30,1,2018-08-01 00:30:00+00:00,PT30M,5b6830513f5a57edb3b762f1,PT30M,568.113555619774
252,5b6102b3923dac48e772098e,558,558,530,463,828,788,828,95,16,56,-22,1,2018-08-01 01:00:00+00:00,PT30M,5b6830513f5a57edb3b762f0,PT30M,613.87047691625
251,5b61098a923dac48e7720990,588,588,558,491,843,800,843,96,17,54,-14,1,2018-08-01 01:30:00+00:00,PT30M,5b6830513f5a57edb3b762ef,PT30M,636.70979137874
250,5b611062923dac48e7720992,601,603,568,500,835,757,843,101,17,53,-5,1,2018-08-01 02:00:00+00:00,PT30M,5b6830513f5a57edb3b762ee,PT30M,649.011569732936
249,5b611739923dac48e7720994,603,603,573,502,833,784,835,101,17,53,4,1,2018-08-01 02:30:00+00:00,PT30M,5b6830513f5a57edb3b762ed,PT30M,640.715499331885
248,5b611e10923dac48e7720996,580,586,551,470,789,732,808,110,18,53,13,1,2018-08-01 03:00:00+00:00,PT30M,5b6830513f5a57edb3b762ec,PT30M,612.085193927757
247,5b6124e8923dac48e7720998,542,556,504,425,743,621,791,117,18,55,21,3,2018-08-01 03:30:00+00:00,PT30M,5b6830513f5a57edb3b762eb,PT30M,582.748945475302
246,5b612bc2923dac48e772099a,500,510,467,388,734,619,774,111,18,58,29,2,2018-08-01 04:00:00+00:00,PT30M,5b6830513f5a57edb3b762ea,PT30M,492.293637880296
245,5b61329d923dac48e772099c,432,452,404,317,662,527,751,115,18,61,37,4,2018-08-01 04:30:00+00:00,PT30M,5b6830513f5a57edb3b762e9,PT30M,493.0808654734
244,5b613974923dac48e772099e,380,381,361,293,708,664,717,86,18,65,43,1,2018-08-01 05:00:00+00:00,PT30M,5b6830513f5a57edb3b762e8,PT30M,444.832279218724
243,5b61404b923dac48e77209a0,301,301,286,225,667,633,667,75,17,70,49,0,2018-08-01 05:30:00+00:00,PT30M,5b6830513f5a57edb3b762e7,PT30M,365.002733058734
242,5b614722923dac48e77209a2,214,214,203,148,580,550,580,66,17,75,55,0,2018-08-01 06:00:00+00:00,PT30M,5b6830513f5a57edb3b762e6,PT30M,271.890938619838
241,5b614dfa923dac48e77209a4,126,126,118,69,378,359,378,56,17,80,60,0,2018-08-01 06:30:00+00:00,PT30M,5b6830513f5a57edb3b762e5,PT30M,163.495859429471
240,5b6154d1923dac48e77209a6,49,49,45,16,91,88,91,33,16,85,64,0,2018-08-01 07:00:00+00:00,PT30M,5b6830513f5a57edb3b762e4,PT30M,55.133062337123
239,5b615ba9923dac48e77209a8,4,4,4,1,6,4,6,3,16,91,68,0,2018-08-01 07:30:00+00:00,PT30M,5b6830513f5a57edb3b762e3,PT30M,2.91917201130674
238,5b616280923dac48e77209aa,0,0,0,0,0,0,0,0,16,97,72,0,2018-08-01 08:00:00+00:00,PT30M,5b6830513f5a57edb3b762e2,PT30M,0.0
237,5b616958923dac48e77209ac,0,0,0,0,0,0,0,0,16,103,76,0,2018-08-01 08:30:00+00:00,PT30M,5b6830513f5a57edb3b762e1,PT30M,0.0
236,5b617030923dac48e77209ae,0,0,0,0,0,0,0,0,16,109,80,0,2018-08-01 09:00:00+00:00,PT30M,5b6830513f5a57edb3b762e0,PT30M,0.0
235,5b617707923dac48e77209b0,0,0,0,0,0,0,0,0,15,115,84,0,2018-08-01 09:30:00+00:00,PT30M,5b6830513f5a57edb3b762df,PT30M,0.0
234,5b617dde923dac48e77209b2,0,0,0,0,0,0,0,0,15,121,88,0,2018-08-01 10:00:00+00:00,PT30M,5b6830513f5a57edb3b762de,PT30M,0.0
233,5b6184b5923dac48e77209b4,0,0,0,0,0,0,0,0,15,128,92,0,2018-08-01 10:30:00+00:00,PT30M,5b6830513f5a57edb3b762dd,PT30M,0.0
232,5b619264923dac48e77209b8,0,0,0,0,0,0,0,0,15,134,97,0,2018-08-01 11:00:00+00:00,PT30M,5b6830513f5a57edb3b762dc,PT30M,0.0
231,5b61993b923dac48e77209ba,0,0,0,0,0,0,0,0,14,140,102,0,2018-08-01 11:30:00+00:00,PT30M,5b6830513f5a57edb3b762db,PT30M,0.0
230,5b619f6a5f627d81d429d848,0,0,0,0,0,0,0,0,14,146,109,0,2018-08-01 12:00:00+00:00,PT30M,5b6830513f5a57edb3b762da,PT30M,0.0
229,5b61a6465f627d81d429d84a,0,0,0,0,0,0,0,0,14,152,117,0,2018-08-01 12:30:00+00:00,PT30M,5b6830513f5a57edb3b762d9,PT30M,0.0
228,5b61ad1e5f627d81d429d84c,0,0,0,0,0,0,0,0,14,157,128,0,2018-08-01 13:00:00+00:00,PT30M,5b6830513f5a57edb3b762d8,PT30M,0.0
227,5b61b3f55f627d81d429d84e,0,0,0,0,0,0,0,0,13,161,144,0,2018-08-01 13:30:00+00:00,PT30M,5b6830513f5a57edb3b762d7,PT30M,0.0
226,5b61bacd5f627d81d429d850,0,0,0,0,0,0,0,0,13,164,166,0,2018-08-01 14:00:00+00:00,PT30M,5b6830513f5a57edb3b762d6,PT30M,0.0
225,5b61c1a45f627d81d429d852,0,0,0,0,0,0,0,0,13,164,-168,0,2018-08-01 14:30:00+00:00,PT30M,5b6830513f5a57edb3b762d5,PT30M,0.0
224,5b61c87c5f627d81d429d854,0,0,0,0,0,0,0,0,13,162,-145,0,2018-08-01 15:00:00+00:00,PT30M,5b6830513f5a57edb3b762d4,PT30M,0.0
223,5b61cf535f627d81d429d856,0,0,0,0,0,0,0,0,13,157,-129,0,2018-08-01 15:30:00+00:00,PT30M,5b6830513f5a57edb3b762d3,PT30M,0.0
222,5b61d62a5f627d81d429d858,0,0,0,0,0,0,0,0,13,152,-118,0,2018-08-01 16:00:00+00:00,PT30M,5b6830513f5a57edb3b762d2,PT30M,0.0
221,5b61dd025f627d81d429d85a,0,0,0,0,0,0,0,0,13,146,-109,0,2018-08-01 16:30:00+00:00,PT30M,5b6830513f5a57edb3b762d1,PT30M,0.0
220,5b61e3da5f627d81d429d85c,0,0,0,0,0,0,0,0,12,140,-103,0,2018-08-01 17:00:00+00:00,PT30M,5b6830513f5a57edb3b762d0,PT30M,0.0
219,5b61eab15f627d81d429d85e,0,0,0,0,0,0,0,0,12,134,-97,0,2018-08-01 17:30:00+00:00,PT30M,5b6830513f5a57edb3b762cf,PT30M,0.0
218,5b61f1885f627d81d429d860,0,0,0,0,0,0,0,0,12,128,-93,0,2018-08-01 18:00:00+00:00,PT30M,5b6830513f5a57edb3b762ce,PT30M,0.0
217,5b61f8605f627d81d429d862,0,0,0,0,0,0,0,0,12,122,-88,0,2018-08-01 18:30:00+00:00,PT30M,5b6830513f5a57edb3b762cd,PT30M,0.0
216,5b61ff375f627d81d429d864,0,0,0,0,0,0,0,0,12,116,-85,0,2018-08-01 19:00:00+00:00,PT30M,5b6830513f5a57edb3b762cc,PT30M,0.0
215,5b6206105f627d81d429d866,0,0,0,0,0,0,0,0,13,109,-81,4,2018-08-01 19:30:00+00:00,PT30M,5b6830513f5a57edb3b762cb,PT30M,0.0
214,5b620ce75f627d81d429d868,0,0,0,0,0,0,0,0,13,103,-77,3,2018-08-01 20:00:00+00:00,PT30M,5b6830513f5a57edb3b762ca,PT30M,0.0
213,5b6213bf5f627d81d429d86a,0,0,0,0,0,0,0,0,13,97,-73,2,2018-08-01 20:30:00+00:00,PT30M,5b6830513f5a57edb3b762c9,PT30M,0.0
212,5b621a965f627d81d429d86c,7,7,7,2,10,10,10,5,12,92,-69,1,2018-08-01 21:00:00+00:00,PT30M,5b6830513f5a57edb3b762c8,PT30M,0.0
211,5b6221725f627d81d429d86e,52,52,50,20,119,112,119,32,12,86,-65,1,2018-08-01 21:30:00+00:00,PT30M,5b6830513f5a57edb3b762c7,PT30M,35.5750839166217
210,5b6228495f627d81d429d870,115,126,98,47,250,118,381,68,13,80,-60,11,2018-08-01 22:00:00+00:00,PT30M,5b6830513f5a57edb3b762c6,PT30M,118.664090446624
209,5b622f205f627d81d429d872,199,213,184,112,417,299,528,87,13,75,-55,8,2018-08-01 22:30:00+00:00,PT30M,5b6830513f5a57edb3b762c5,PT30M,281.89981708929
208,5b6235fd5f627d81d429d874,302,306,282,226,656,567,672,77,13,70,-50,1,2018-08-01 23:00:00+00:00,PT30M,5b6830513f5a57edb3b762c4,PT30M,372.996368588428
207,5b623cda5f627d81d429d876,376,386,334,284,692,494,742,90,14,66,-44,2,2018-08-01 23:30:00+00:00,PT30M,5b6830513f5a57edb3b762c3,PT30M,371.98948311965
206,5b6243b15f627d81d429d878,370,416,312,174,367,148,598,195,14,62,-37,18,2018-08-02 00:00:00+00:00,PT30M,5b6830513f5a57edb3b762c2,PT30M,390.533163851536
205,5b624a895f627d81d429d87a,421,478,352,208,394,164,644,212,15,58,-30,18,2018-08-02 00:30:00+00:00,PT30M,5b6830513f5a57edb3b762c1,PT30M,551.201181595419
204,5b6251625f627d81d429d87c,527,560,498,390,685,591,806,135,15,55,-22,6,2018-08-02 01:00:00+00:00,PT30M,5b6830513f5a57edb3b762c0,PT30M,613.042226484941
203,5b62583d5f627d81d429d87e,590,592,561,486,814,762,819,103,15,53,-14,3,2018-08-02 01:30:00+00:00,PT30M,5b6830513f5a57edb3b762bf,PT30M,626.279875784504
202,5b625f155f627d81d429d880,589,607,516,464,757,530,821,124,15,52,-5,3,2018-08-02 02:00:00+00:00,PT30M,5b6830513f5a57edb3b762be,PT30M,568.268845084336
201,5b6265ec5f627d81d429d882,542,605,404,358,584,170,812,183,16,52,4,11,2018-08-02 02:30:00+00:00,PT30M,5b6830513f5a57edb3b762bd,PT30M,552.847532642841
200,5b626cc45f627d81d429d884,482,590,345,240,402,82,810,241,16,53,13,18,2018-08-02 03:00:00+00:00,PT30M,5b6830513f5a57edb3b762bc,PT30M,531.036990059596
199,5b627a745f627d81d429d888,515,534,385,361,633,286,707,153,16,55,21,8,2018-08-02 03:30:00+00:00,PT30M,5b6830513f5a57edb3b762bb,PT30M,520.878837274688
198,5b6281515f627d81d429d88a,453,477,394,281,529,311,639,172,16,58,29,12,2018-08-02 04:00:00+00:00,PT30M,5b6830513f5a57edb3b762ba,PT30M,515.995059115124
197,5b6288295f627d81d429d88c,427,444,368,304,635,383,712,122,16,61,37,5,2018-08-02 04:30:00+00:00,PT30M,5b6830513f5a57edb3b762b9,PT30M,489.854412157085
196,5b628f005f627d81d429d88e,383,385,370,297,717,685,726,86,16,65,43,3,2018-08-02 05:00:00+00:00,PT30M,5b6830513f5a57edb3b762b8,PT30M,452.751810995558
195,5b6295d85f627d81d429d890,303,303,294,225,661,640,661,78,16,70,49,3,2018-08-02 05:30:00+00:00,PT30M,5b6830513f5a57edb3b762b7,PT30M,368.934939329176
194,5b629cb05f627d81d429d892,216,216,209,146,545,519,545,70,16,74,55,3,2018-08-02 06:00:00+00:00,PT30M,5b6830513f5a57edb3b762b6,PT30M,273.770246493399
193,5b62a3875f627d81d429d894,128,128,124,67,358,336,367,61,16,80,60,1,2018-08-02 06:30:00+00:00,PT30M,5b6830513f5a57edb3b762b5,PT30M,167.320676105571
192,5b62aa5f5f627d81d429d896,49,50,48,14,82,78,88,35,16,85,64,4,2018-08-02 07:00:00+00:00,PT30M,5b6830513f5a57edb3b762b4,PT30M,56.2385014173136
191,5b62b1365f627d81d429d898,5,5,5,1,6,6,6,4,16,91,69,2,2018-08-02 07:30:00+00:00,PT30M,5b6830513f5a57edb3b762b3,PT30M,3.28721283270447
190,5b62b80d5f627d81d429d89a,0,0,0,0,0,0,0,0,16,97,73,2,2018-08-02 08:00:00+00:00,PT30M,5b6830513f5a57edb3b762b2,PT30M,0.0
189,5b62bee55f627d81d429d89c,0,0,0,0,0,0,0,0,16,103,77,1,2018-08-02 08:30:00+00:00,PT30M,5b6830513f5a57edb3b762b1,PT30M,0.0
188,5b62c5bd5f627d81d429d89e,0,0,0,0,0,0,0,0,16,109,80,1,2018-08-02 09:00:00+00:00,PT30M,5b6830513f5a57edb3b762b0,PT30M,0.0
187,5b62cc945f627d81d429d8a0,0,0,0,0,0,0,0,0,16,115,84,1,2018-08-02 09:30:00+00:00,PT30M,5b6830513f5a57edb3b762af,PT30M,0.0
186,5b62d36c5f627d81d429d8a2,0,0,0,0,0,0,0,0,16,121,88,1,2018-08-02 10:00:00+00:00,PT30M,5b6830513f5a57edb3b762ae,PT30M,0.0
185,5b62da445f627d81d429d8a4,0,0,0,0,0,0,0,0,16,127,93,1,2018-08-02 10:30:00+00:00,PT30M,5b6830513f5a57edb3b762ad,PT30M,0.0
184,5b62e11d5f627d81d429d8a6,0,0,0,0,0,0,0,0,16,134,97,0,2018-08-02 11:00:00+00:00,PT30M,5b6830513f5a57edb3b762ac,PT30M,0.0
183,5b62e7f55f627d81d429d8a8,0,0,0,0,0,0,0,0,16,140,102,0,2018-08-02 11:30:00+00:00,PT30M,5b6830513f5a57edb3b762ab,PT30M,0.0
182,5b62eecc5f627d81d429d8aa,0,0,0,0,0,0,0,0,16,146,109,0,2018-08-02 12:00:00+00:00,PT30M,5b6830513f5a57edb3b762aa,PT30M,0.0
181,5b62f5a55f627d81d429d8ac,0,0,0,0,0,0,0,0,16,151,117,0,2018-08-02 12:30:00+00:00,PT30M,5b6830513f5a57edb3b762a9,PT30M,0.0
180,5b62fc7e5f627d81d429d8ae,0,0,0,0,0,0,0,0,15,157,128,0,2018-08-02 13:00:00+00:00,PT30M,5b6830513f5a57edb3b762a8,PT30M,0.0
179,5b6303555f627d81d429d8b0,0,0,0,0,0,0,0,0,15,161,144,0,2018-08-02 13:30:00+00:00,PT30M,5b6830513f5a57edb3b762a7,PT30M,0.0
178,5b630a2c5f627d81d429d8b2,0,0,0,0,0,0,0,0,15,164,166,0,2018-08-02 14:00:00+00:00,PT30M,5b6830513f5a57edb3b762a6,PT30M,0.0
177,5b6311055f627d81d429d8b4,0,0,0,0,0,0,0,0,15,164,-168,0,2018-08-02 14:30:00+00:00,PT30M,5b6830513f5a57edb3b762a5,PT30M,0.0
